"id","t","site_id","vehicle_id","id-2","name","location_id","direction","longitude","latitude","geom","id-3","make","type","subtype","intro_date","euro_status","fuel_type","engine_capacity","co2","gross_vehicle_weight","fc_combined","fc_extra_urban","fc_urban_cold","taxi_type"
1082062,"2017-11-03 14:02:13",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1107460,"2017-11-03 15:09:09",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1116325,"2017-11-03 15:31:46",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1138329,"2017-11-03 16:24:27",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1148598,"2017-11-03 16:49:12",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1157458,"2017-11-03 17:10:43",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1178160,"2017-11-03 18:02:27",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1185531,"2017-11-03 18:21:57",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1203324,"2017-11-03 19:21:11",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
1208552,"2017-11-03 19:43:28",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
